,burn_in,long_term_degredation,initial_pce,module_cost,durham_two_years_lcoe,durham_five_years_lcoe,durham_ten_years_lcoe,durham_tw_five_years_lcoe,copenhagen_two_years_lcoe,copenhagen_five_years_lcoe,copenhagen_ten_years_lcoe,copenhagen_tw_five_years_lcoe,johanesberg_two_years_lcoe,johanesberg_five_years_lcoe,johanesberg_ten_years_lcoe,johanesberg_tw_five_years_lcoe,madrid_two_years_lcoe,madrid_five_years_lcoe,madrid_ten_years_lcoe,madrid_tw_five_years_lcoe,nairobi_two_years_lcoe,nairobi_five_years_lcoe,nairobi_ten_years_lcoe,nairobi_tw_five_years_lcoe,paris_two_years_lcoe,paris_five_years_lcoe,paris_ten_years_lcoe,paris_tw_five_years_lcoe
10,0.0,0.0,0.21,0.049,0.154152116,0.117174297,0.105060143,0.096620686,0.145254948,0.112141214,0.101292957,0.093735402,0.078442922,0.057637724,0.050821816,0.046073441,0.076955592,0.056814052,0.050215563,0.045618655,0.079092873,0.058161398,0.051304121,0.046526926,0.118648272,0.088360265,0.078437733,0.071525093
11,0.0,0.002,0.01,0.049,2.26443537,1.929357333,1.885486553,1.941950561,2.186346554,1.897348617,1.876812992,1.963595968,1.116456693,0.943572313,0.949008758,1.051335556,1.103987161,0.939315006,0.949619475,1.060091387,1.126329779,0.951846507,0.956174977,1.056218611,1.700759708,1.430261529,1.401875574,1.465166799
12,0.0,0.0,0.11,0.049,0.248797115,0.195832711,0.178481187,0.166392564,0.236565542,0.189135779,0.173597444,0.162772051,0.124158328,0.094358438,0.084595777,0.077794235,0.122135369,0.093286057,0.083834812,0.077250231,0.125243786,0.095263026,0.085441111,0.078598287,0.18924743,0.145865037,0.13165265,0.121751031
13,0.0,0.0,0.27,0.049,0.131016766,0.09794678,0.087112871,0.079565432,0.122934665,0.093320405,0.083618612,0.076859861,0.067268098,0.048661602,0.042566012,0.038319522,0.065911697,0.047898725,0.041997576,0.037886543,0.067811592,0.049092164,0.042959577,0.038687313,0.101390777,0.07430362,0.065429719,0.059247719
14,0.0,0.0,0.17,0.049,0.178648432,0.137532908,0.124063199,0.114679252,0.168888245,0.132069186,0.120007026,0.111603677,0.090275124,0.067141887,0.059563291,0.054283508,0.088649161,0.066253845,0.058916996,0.053805631,0.091037794,0.067764151,0.060139556,0.054827727,0.136920965,0.103243822,0.092210975,0.084524717
15,0.0,0.0,0.23,0.049,0.145099144,0.109650477,0.098037288,0.089946882,0.136520916,0.104776542,0.094376901,0.087131921,0.07407016,0.054125323,0.047591279,0.043039293,0.072634063,0.053325441,0.046999824,0.042593041,0.074678453,0.054612562,0.04803886,0.043459246,0.111895332,0.082859831,0.073347633,0.066720896
16,0.0,0.0,0.33,0.049,0.116294329,0.085711144,0.075691937,0.068712147,0.108730901,0.081343579,0.072371353,0.066120932,0.060156879,0.042949558,0.037312351,0.033385243,0.058883796,0.042225366,0.036767979,0.03296614,0.060632628,0.043320867,0.037649445,0.033698501,0.090408783,0.06535853,0.057151939,0.051434892
17,0.0,0.002,0.03,0.049,0.788592048,0.664455396,0.64624804,0.663083825,0.759104598,0.651672452,0.641693604,0.668977488,0.391481322,0.32705753,0.327230802,0.360978458,0.386728545,0.325272383,0.327147221,0.363679521,0.394878235,0.329872713,0.329651863,0.3626037,0.594718411,0.494439681,0.482180848,0.501901887
18,0.0,0.0,0.29,0.049,0.125432386,0.093305669,0.082780785,0.075448661,0.117547024,0.088777465,0.079352403,0.072786467,0.064570735,0.046494961,0.04057324,0.036447895,0.063245938,0.045746757,0.040013932,0.03602018,0.065088532,0.046903047,0.040945385,0.036795001,0.097225187,0.070910649,0.062289865,0.056284227
19,0.0,0.002,0.07,0.049,0.36692262,0.303054938,0.292179994,0.297693438,0.351321265,0.295765062,0.28880244,0.299086592,0.184345554,0.150910504,0.149580019,0.163733645,0.181797563,0.149831688,0.149298066,0.164704773,0.185892133,0.152165971,0.150645321,0.164428084,0.278706688,0.227062089,0.21941101,0.226683433
20,0.0,0.0,0.35,0.049,0.112508571,0.08256485,0.072755138,0.065921314,0.105078515,0.078263834,0.069479211,0.063359504,0.058328287,0.041480753,0.035961417,0.032116435,0.057076628,0.040766509,0.035423233,0.0317009,0.058786615,0.041836825,0.03628399,0.032415671,0.087584851,0.063058374,0.055023378,0.049425889
21,0.0,0.002,0.13,0.049,0.22096025,0.177954907,0.169618112,0.171212296,0.210165607,0.172566465,0.166647928,0.17104757,0.112644782,0.089936609,0.088085599,0.095456692,0.110859984,0.08910229,0.087734976,0.095828995,0.113550861,0.090652174,0.0886816,0.095828929,0.169318116,0.134508413,0.128452332,0.131415632
22,0.0,0.002,0.05,0.049,0.493423427,0.411475053,0.398400384,0.407310529,0.473656246,0.402537259,0.394669768,0.410053838,0.246486272,0.203754599,0.20287524,0.222907072,0.243276846,0.202463884,0.202652798,0.224397181,0.248587951,0.20547798,0.204347269,0.223880752,0.373510187,0.307275348,0.298241942,0.309248947
23,0.0,0.002,0.19,0.049,0.167184741,0.131865527,0.124463844,0.1246141,0.158160982,0.127177603,0.121643735,0.123875408,0.086228767,0.067472604,0.065429828,0.070302105,0.084725143,0.066728361,0.065053904,0.070453786,0.086898872,0.067989258,0.065852929,0.070555637,0.129017148,0.100409778,0.094941333,0.096317071
24,0.0,0.002,0.09,0.049,0.296644418,0.242821565,0.233168691,0.236795082,0.283357408,0.236447197,0.229987282,0.237438148,0.149822947,0.121552689,0.119971579,0.130859538,0.147642419,0.120591594,0.119656563,0.131542343,0.151061136,0.122548202,0.120810921,0.131398843,0.226038097,0.182499188,0.175616069,0.180813727
25,0.0,0.002,0.25,0.049,0.139221554,0.107899129,0.100983709,0.100383129,0.131118647,0.103575467,0.09824163,0.099345967,0.072492483,0.055791369,0.053648879,0.057221781,0.071135069,0.055093963,0.053259797,0.057258737,0.073039882,0.056204589,0.053982071,0.057413585,0.108060707,0.082678553,0.077515684,0.078065897
26,0.0,0.002,0.15,0.049,0.198255021,0.158494932,0.150552961,0.151537485,0.188208086,0.153402265,0.147646144,0.15113042,0.101491345,0.080451798,0.07851982,0.084835855,0.099825266,0.079655511,0.078158514,0.085115007,0.102297791,0.081083379,0.079042818,0.085157972,0.15230214,0.120111199,0.114303231,0.116596225
27,0.0,0.002,0.31,0.049,0.122082889,0.093210111,0.086592726,0.085531962,0.114544369,0.089109699,0.083898465,0.084311861,0.064073506,0.048631939,0.046428338,0.049204857,0.062805703,0.04796324,0.046031191,0.049171497,0.064545699,0.048981765,0.046706426,0.049358828,0.095216489,0.071811082,0.066835504,0.066879756
28,0.0,0.002,0.21,0.049,0.156088228,0.122355041,0.115146319,0.114998623,0.147429888,0.117811666,0.112357175,0.114141492,0.080777855,0.062837187,0.060754841,0.065111492,0.079332251,0.06211153,0.060373696,0.065217648,0.081399267,0.063312796,0.061142264,0.065340529,0.120701091,0.093373569,0.088026384,0.089074531
29,0.0,0.004,0.01,0.049,2.293237863,2.018608054,2.085724063,2.398082869,2.219580911,1.998398179,2.106955494,2.51002572,1.1507087,1.037131284,1.179549389,1.591236744,1.139168696,1.035905295,1.190432742,1.617455355,1.160160738,1.044344911,1.183035321,1.591275335,1.730703866,1.51629149,1.597115591,1.939181104
30,0.0,0.002,0.11,0.049,0.251921945,0.204491257,0.195616065,0.198041606,0.240107699,0.198699482,0.192559472,0.198207342,0.127854026,0.102870454,0.101129857,0.109939667,0.125907338,0.101984272,0.100793801,0.110438993,0.128895968,0.103700543,0.101825407,0.11038025,0.192521737,0.154140995,0.14774658,0.151623933
31,0.0,0.002,0.27,0.049,0.132662304,0.102277398,0.09547604,0.09469934,0.124775398,0.098039178,0.092752263,0.093592165,0.069270401,0.053051335,0.050885457,0.054153569,0.067947282,0.052364917,0.050493288,0.054163614,0.069789017,0.053440294,0.05119756,0.054330894,0.103145012,0.078519391,0.0734282,0.073784773
32,0.0,0.004,0.07,0.049,0.371589693,0.317074047,0.323209329,0.367616739,0.356661652,0.311517006,0.324216579,0.38231645,0.19000113,0.165873885,0.185917167,0.247817161,0.187591034,0.165238965,0.187158446,0.251301559,0.191475674,0.166953134,0.186387157,0.247723673,0.283613693,0.240719831,0.249968507,0.300020605
33,0.0,0.002,0.33,0.049,0.117754957,0.089500776,0.082958654,0.081781683,0.110358956,0.08545674,0.080276467,0.080515384,0.061947509,0.046824011,0.044604978,0.047180391,0.060702335,0.04616256,0.044205793,0.047129275,0.06240071,0.047157828,0.044869151,0.047324809,0.09197301,0.069066782,0.0641385,0.064054987
34,0.0,0.002,0.17,0.049,0.180892211,0.143613787,0.135973742,0.136492056,0.171417052,0.138747301,0.133115379,0.135899671,0.092962254,0.073198716,0.07120482,0.076714049,0.091386958,0.072431512,0.070835346,0.076921967,0.093692509,0.073766072,0.071671993,0.076997839,0.139289933,0.109101576,0.103483341,0.10526375
35,0.0,0.002,0.23,0.049,0.146921553,0.114498562,0.107449243,0.107055414,0.138565079,0.110074597,0.104685678,0.106100441,0.076274933,0.059007935,0.056892902,0.060823602,0.074877258,0.058297633,0.056507443,0.060892149,0.07685612,0.059449637,0.057250852,0.061032404,0.113831314,0.087561057,0.082314043,0.083091573
