,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
2011,Madrid,0.5,0.004,0.03,0.245,0.920912079,0.784935739,0.823823585,0.828351628
2012,Madrid,0.5,0.004,0.09,0.245,0.449497324,0.343883058,0.340121391,0.323783523
2013,Madrid,0.5,0.002,0.25,0.245,0.28988293,0.184256995,0.156828534,0.141779735
2014,Madrid,0.5,0.002,0.35,0.245,0.266350331,0.163643158,0.135779217,0.119114889
2015,Madrid,0.5,0.002,0.31,0.245,0.27394147,0.170292759,0.142569293,0.126426099
2016,Madrid,0.5,0.004,0.15,0.245,0.355214514,0.255672685,0.243381147,0.222870117
2017,Madrid,0.5,0.004,0.05,0.245,0.638063179,0.520304076,0.533602204,0.525610693
2018,Madrid,0.5,0.004,0.21,0.245,0.314807696,0.217868357,0.201921181,0.179621669
2019,Madrid,0.5,0.004,0.11,0.245,0.40664148,0.303787409,0.296148523,0.27791376
2020,Madrid,0.5,0.004,0.01,0.245,2.335156814,2.108094326,2.274930814,2.342056663
2021,Madrid,0.5,0.004,0.27,0.245,0.292359542,0.196866043,0.178887975,0.155594873
2022,Madrid,0.5,0.004,0.17,0.245,0.338576399,0.240106181,0.226309377,0.205061912
2023,Madrid,0.5,0.004,0.07,0.245,0.516842255,0.406890545,0.409221658,0.395864629
2024,Madrid,0.5,0.004,0.23,0.245,0.306023626,0.209650048,0.192908173,0.170219864
2025,Madrid,0.5,0.004,0.33,0.245,0.278074418,0.183501008,0.164230568,0.140305192
2026,Madrid,0.5,0.004,0.13,0.245,0.376972067,0.276028904,0.265705794,0.246157799
2027,Madrid,0.5,0.004,0.19,0.245,0.325441057,0.22781685,0.212831681,0.191002821
2028,Madrid,0.5,0.006,0.03,0.245,0.949615432,0.867814182,0.89337844,0.879465343
2029,Madrid,0.5,0.004,0.25,0.245,0.298645016,0.20274668,0.18533726,0.162322362
2030,Madrid,0.5,0.004,0.29,0.245,0.286941039,0.191796537,0.173328258,0.149795327
2031,Madrid,0.5,0.004,0.35,0.245,0.274401114,0.1800643,0.160461539,0.13637358
2032,Madrid,0.5,0.006,0.09,0.245,0.463507435,0.38019239,0.368837605,0.343762694
2033,Madrid,0.5,0.006,0.15,0.245,0.366285981,0.282668213,0.263929649,0.236622393
2034,Madrid,0.5,0.004,0.31,0.245,0.282221705,0.187381171,0.168485934,0.14474412
2035,Madrid,0.5,0.006,0.05,0.245,0.657950585,0.575241047,0.578653869,0.558043677
2036,Madrid,0.5,0.006,0.01,0.245,2.407939908,2.330680161,2.467001649,2.486574055
2037,Madrid,0.5,0.006,0.21,0.245,0.324619747,0.240872266,0.218969247,0.190705284
2038,Madrid,0.5,0.006,0.11,0.245,0.419315843,0.335863191,0.321152138,0.295062522
2039,Madrid,0.5,0.006,0.27,0.245,0.301471921,0.217652396,0.193991363,0.165195907
2040,Madrid,0.5,0.006,0.07,0.245,0.5329514,0.449852603,0.44377196,0.420291589
2041,Madrid,0.5,0.006,0.17,0.245,0.349129282,0.265458099,0.245416521,0.217715326
