,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
1709,Johanesberg,0.3,0.01,0.05,0.245,0.521873234,0.516193036,0.562429157,0.570469216
1710,Johanesberg,0.3,0.008,0.31,0.245,0.225431251,0.171319659,0.167450335,0.150383859
1711,Johanesberg,0.3,0.01,0.15,0.245,0.292135437,0.255258149,0.258110864,0.243228516
1712,Johanesberg,0.3,0.01,0.11,0.245,0.333905892,0.30270078,0.313441368,0.302726716
1713,Johanesberg,0.3,0.01,0.21,0.245,0.259315863,0.217981894,0.214637022,0.196480073
1714,Johanesberg,0.3,0.01,0.01,0.245,1.900301383,2.081804287,2.388341358,2.533916216
1715,Johanesberg,0.3,0.01,0.07,0.245,0.423414122,0.40436372,0.432006932,0.430223088
1716,Johanesberg,0.3,0.01,0.27,0.245,0.241082831,0.197272955,0.190485004,0.17050885
1717,Johanesberg,0.3,0.01,0.17,0.245,0.278621483,0.239909086,0.24020985,0.223979134
1718,Johanesberg,0.3,0.01,0.33,0.245,0.229480046,0.184094615,0.175115634,0.153981817
1719,Johanesberg,0.3,0.01,0.23,0.245,0.25218119,0.209878384,0.205186218,0.186317403
1720,Johanesberg,0.3,0.01,0.13,0.245,0.309807545,0.275330021,0.28151991,0.268400816
1721,Johanesberg,0.3,0.01,0.29,0.245,0.236681768,0.192274265,0.184655231,0.164239961
1722,Johanesberg,0.3,0.01,0.19,0.245,0.267952582,0.22779142,0.226077489,0.208782274
1723,Johanesberg,0.3,0.012,0.03,0.245,0.777182786,0.832762971,0.912300911,0.933648943
1724,Johanesberg,0.3,0.01,0.25,0.245,0.246188072,0.203071447,0.197247555,0.177780776
1725,Johanesberg,0.3,0.01,0.35,0.245,0.226496484,0.180705915,0.17116353,0.149732031
1726,Johanesberg,0.3,0.012,0.09,0.245,0.381259166,0.366737126,0.378446828,0.366412818
1727,Johanesberg,0.3,0.01,0.31,0.245,0.23284859,0.187920576,0.179577698,0.158779975
1728,Johanesberg,0.3,0.012,0.05,0.245,0.539628574,0.553147405,0.591988388,0.593307185
1729,Johanesberg,0.3,0.012,0.01,0.245,1.96495405,2.230841098,2.513863893,2.635358148
1730,Johanesberg,0.3,0.012,0.15,0.245,0.302074563,0.273532134,0.271676233,0.252965843
1731,Johanesberg,0.3,0.012,0.11,0.245,0.345266146,0.324371193,0.329914706,0.314845974
1732,Johanesberg,0.3,0.012,0.21,0.245,0.268138391,0.233587264,0.225917564,0.204345889
1733,Johanesberg,0.3,0.012,0.07,0.245,0.437819654,0.433312204,0.454711645,0.447446491
1734,Johanesberg,0.3,0.012,0.27,0.245,0.249285029,0.211395768,0.200496203,0.177334943
1735,Johanesberg,0.3,0.012,0.17,0.245,0.288100833,0.257084229,0.252834406,0.232945838
1736,Johanesberg,0.3,0.012,0.13,0.245,0.320347917,0.295040955,0.296315573,0.279145882
1737,Johanesberg,0.3,0.012,0.23,0.245,0.260760979,0.224903622,0.215970059,0.19377637
1738,Johanesberg,0.3,0.012,0.33,0.245,0.23728749,0.197273987,0.184319075,0.160146272
1739,Johanesberg,0.3,0.014,0.03,0.245,0.804555637,0.878739591,0.948742415,0.961789268
1740,Johanesberg,0.3,0.012,0.29,0.245,0.244734231,0.20603922,0.194360038,0.170815088
1741,Johanesberg,0.3,0.012,0.19,0.245,0.277068952,0.244099056,0.237959299,0.217140592
1742,Johanesberg,0.3,0.012,0.25,0.245,0.254563962,0.217609375,0.20761417,0.184897991
1743,Johanesberg,0.3,0.012,0.35,0.245,0.23420242,0.193642689,0.180159262,0.155726352
1744,Johanesberg,0.3,0.014,0.05,0.245,0.558634621,0.583686524,0.615635133,0.611189556
1745,Johanesberg,0.3,0.014,0.09,0.245,0.394687346,0.386984584,0.393563739,0.377456558
1746,Johanesberg,0.3,0.012,0.31,0.245,0.24077064,0.20137385,0.189015648,0.165136518
1747,Johanesberg,0.3,0.014,0.15,0.245,0.312713813,0.288633769,0.282528234,0.260590273
1748,Johanesberg,0.3,0.014,0.01,0.245,2.034160929,2.354005235,2.614279206,2.714788255
1749,Johanesberg,0.3,0.014,0.07,0.245,0.453239929,0.457235254,0.472874924,0.460932598
1750,Johanesberg,0.3,0.014,0.11,0.245,0.35742663,0.34227964,0.34309302,0.324335481
1751,Johanesberg,0.3,0.014,0.21,0.245,0.277582388,0.246483554,0.234941753,0.210504906
1752,Johanesberg,0.3,0.014,0.17,0.245,0.29824792,0.27127778,0.262933778,0.239966862
1753,Johanesberg,0.3,0.014,0.27,0.245,0.258064999,0.223066871,0.208504946,0.182679845
1754,Johanesberg,0.3,0.014,0.13,0.245,0.331630766,0.311330087,0.308151783,0.287559383
1755,Johanesberg,0.3,0.014,0.33,0.245,0.2456449,0.208165431,0.191681628,0.164973105
1756,Johanesberg,0.3,0.014,0.19,0.245,0.286827489,0.257575699,0.247464491,0.223685244
1757,Johanesberg,0.3,0.014,0.23,0.245,0.26994514,0.237320491,0.224596899,0.19961682
1758,Johanesberg,0.3,0.016,0.03,0.245,0.833927056,0.917280589,0.978487697,0.984368502
