,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
2743,Copenhagen,0.3,0.004,0.33,0.049,0.155115119,0.126658456,0.127456057,0.141854964
2744,Copenhagen,0.3,0.004,0.23,0.049,0.194760256,0.163145452,0.1662109,0.186931659
2745,Copenhagen,0.3,0.006,0.03,0.049,1.082745947,1.019263285,1.159490186,1.358202969
2746,Copenhagen,0.3,0.004,0.13,0.049,0.295398436,0.25576686,0.264589222,0.301357899
2747,Copenhagen,0.3,0.004,0.29,0.049,0.167692169,0.13823361,0.139750663,0.156155115
2748,Copenhagen,0.3,0.004,0.19,0.049,0.222303294,0.188494423,0.193135441,0.21824825
2749,Copenhagen,0.3,0.004,0.25,0.049,0.184293918,0.153512862,0.155979595,0.175031379
2750,Copenhagen,0.3,0.004,0.35,0.049,0.149904638,0.121863047,0.122362593,0.135930634
2751,Copenhagen,0.3,0.006,0.05,0.049,0.675597779,0.629597657,0.713137423,0.832518807
2752,Copenhagen,0.3,0.004,0.31,0.049,0.160997928,0.132072636,0.133206754,0.148543738
2753,Copenhagen,0.3,0.006,0.09,0.049,0.404165758,0.369820675,0.415569041,0.482062856
2754,Copenhagen,0.3,0.006,0.15,0.049,0.268449885,0.239932341,0.266785041,0.306835115
2755,Copenhagen,0.3,0.006,0.01,0.049,3.118487066,2.967591738,3.39125438,3.986624247
2756,Copenhagen,0.3,0.006,0.07,0.049,0.501105746,0.462598146,0.521843436,0.607225662
2757,Copenhagen,0.3,0.006,0.21,0.049,0.210286058,0.184266046,0.203020633,0.231737714
2758,Copenhagen,0.3,0.006,0.11,0.049,0.3424767,0.310780495,0.347939916,0.40241384
2759,Copenhagen,0.3,0.006,0.27,0.049,0.177972912,0.153340431,0.167596089,0.190017092
2760,Copenhagen,0.3,0.006,0.17,0.049,0.244500058,0.217010907,0.240529086,0.275912628
2761,Copenhagen,0.3,0.006,0.33,0.049,0.157410076,0.133660579,0.145053301,0.163467733
2762,Copenhagen,0.3,0.006,0.13,0.049,0.299768912,0.269906548,0.301119781,0.34727225
2763,Copenhagen,0.3,0.008,0.03,0.049,1.09900595,1.078909163,1.299096999,1.4913038
2764,Copenhagen,0.3,0.006,0.23,0.049,0.197641772,0.172164705,0.189158838,0.215412232
2765,Copenhagen,0.3,0.006,0.19,0.049,0.225592314,0.198915054,0.21980072,0.251500163
2766,Copenhagen,0.3,0.006,0.29,0.049,0.170173206,0.145875648,0.159045363,0.179946629
2767,Copenhagen,0.3,0.008,0.09,0.049,0.410235267,0.39146207,0.465605057,0.52930393
2768,Copenhagen,0.3,0.006,0.35,0.049,0.152122506,0.128600063,0.139256606,0.156640782
2769,Copenhagen,0.3,0.006,0.25,0.049,0.187020582,0.16199959,0.177514946,0.201698847
2770,Copenhagen,0.3,0.006,0.31,0.049,0.163379923,0.139374074,0.151597969,0.171175596
2771,Copenhagen,0.3,0.008,0.05,0.049,0.685743484,0.666440841,0.799001749,0.914103775
2772,Copenhagen,0.3,0.008,0.01,0.049,3.165318558,3.141251102,3.799573676,4.377304445
2773,Copenhagen,0.3,0.008,0.15,0.049,0.272481298,0.25397285,0.298906925,0.336904265
2774,Copenhagen,0.3,0.008,0.11,0.049,0.347619801,0.32896694,0.38983314,0.44184949
2775,Copenhagen,0.3,0.008,0.21,0.049,0.213444003,0.19504904,0.227465052,0.254447488
2776,Copenhagen,0.3,0.008,0.07,0.049,0.508631039,0.48966875,0.584675274,0.666732409
2777,Copenhagen,0.3,0.008,0.27,0.049,0.180645598,0.1623137,0.187775264,0.208638339
2778,Copenhagen,0.3,0.008,0.13,0.049,0.304270654,0.285701106,0.337375692,0.381304148
2779,Copenhagen,0.3,0.008,0.17,0.049,0.248171807,0.229710085,0.269489658,0.302951444
2780,Copenhagen,0.3,0.008,0.33,0.049,0.159773963,0.141482211,0.162518243,0.179487203
2781,Copenhagen,0.3,0.008,0.23,0.049,0.200609832,0.182239545,0.211934247,0.236522146
2782,Copenhagen,0.3,0.01,0.03,0.049,1.115761764,1.145969726,1.410107642,1.593401047
2783,Copenhagen,0.3,0.008,0.19,0.049,0.228980118,0.210555288,0.246265522,0.276146612
2784,Copenhagen,0.3,0.008,0.29,0.049,0.172728761,0.15441209,0.178195,0.197580993
2785,Copenhagen,0.3,0.01,0.09,0.049,0.416489852,0.415793745,0.505392015,0.565540996
2786,Copenhagen,0.3,0.008,0.35,0.049,0.154406987,0.136125561,0.156023605,0.171991226
2787,Copenhagen,0.3,0.008,0.25,0.049,0.18982914,0.171479582,0.198888388,0.22146488
2788,Copenhagen,0.3,0.01,0.05,0.049,0.69619856,0.707864067,0.867278173,0.976684906
2789,Copenhagen,0.3,0.01,0.15,0.049,0.276635639,0.269758759,0.324449167,0.359969316
2790,Copenhagen,0.3,0.008,0.31,0.049,0.165833461,0.147530052,0.169850913,0.187950419
2791,Copenhagen,0.3,0.01,0.11,0.049,0.352919729,0.349414174,0.423145224,0.472099273
2792,Copenhagen,0.3,0.01,0.01,0.049,3.213578067,3.336498373,4.124255449,4.676982306
2793,Copenhagen,0.3,0.01,0.17,0.049,0.251955518,0.243987921,0.292518131,0.323692026
2794,Copenhagen,0.3,0.01,0.07,0.049,0.516385799,0.520104549,0.634637038,0.712378067
2795,Copenhagen,0.3,0.01,0.21,0.049,0.216698242,0.207172488,0.246902432,0.271867404
2796,Copenhagen,0.3,0.01,0.27,0.049,0.183399782,0.172402454,0.203821066,0.222922082
2797,Copenhagen,0.3,0.01,0.13,0.049,0.308909667,0.303459114,0.366205173,0.407408892
2798,Copenhagen,0.3,0.01,0.19,0.049,0.232471226,0.223642541,0.267309443,0.295052089
2799,Copenhagen,0.3,0.01,0.23,0.049,0.203668397,0.193566807,0.230044486,0.252714863
2800,Copenhagen,0.3,0.01,0.33,0.049,0.16220993,0.150276164,0.176405778,0.191775208
2801,Copenhagen,0.3,0.01,0.29,0.049,0.175362242,0.164009711,0.193422148,0.211107731
2802,Copenhagen,0.3,0.012,0.03,0.049,1.133036417,1.221919207,1.500317479,1.674043235
2803,Copenhagen,0.3,0.01,0.25,0.049,0.192723339,0.182138049,0.21588383,0.23662675
2804,Copenhagen,0.3,0.01,0.35,0.049,0.156761127,0.144586567,0.169356159,0.183766044
2805,Copenhagen,0.3,0.01,0.31,0.049,0.168361813,0.156699914,0.18436504,0.200817831
2806,Copenhagen,0.3,0.012,0.09,0.049,0.422938108,0.443350598,0.537723824,0.594163083
2807,Copenhagen,0.3,0.012,0.05,0.049,0.706977374,0.754777966,0.922761188,1.026115028
2808,Copenhagen,0.3,0.012,0.15,0.049,0.280918619,0.2876371,0.345205389,0.3781874
2809,Copenhagen,0.3,0.012,0.21,0.049,0.220053247,0.220902905,0.2626977,0.285626641
2810,Copenhagen,0.3,0.012,0.01,0.049,3.263331921,3.557625783,4.388099431,4.913684852
2811,Copenhagen,0.3,0.012,0.11,0.049,0.358383769,0.372571701,0.4502154,0.495992265
2812,Copenhagen,0.3,0.012,0.07,0.049,0.524380683,0.554574631,0.675237133,0.748431593
2813,Copenhagen,0.3,0.012,0.17,0.049,0.25585639,0.260158292,0.311231606,0.340074112
2814,Copenhagen,0.3,0.012,0.23,0.049,0.20682167,0.206395504,0.244761288,0.265504787
2815,Copenhagen,0.3,0.012,0.27,0.049,0.186239248,0.183828477,0.216860259,0.234204191
2816,Copenhagen,0.3,0.012,0.13,0.049,0.313692325,0.323570956,0.389632682,0.428027897
2817,Copenhagen,0.3,0.012,0.33,0.049,0.164721327,0.160235761,0.187691113,0.201480971
2818,Copenhagen,0.3,0.012,0.19,0.049,0.236070435,0.238464516,0.284410224,0.309984705
2819,Copenhagen,0.3,0.012,0.25,0.049,0.195707156,0.194209302,0.229694723,0.248602454
2820,Copenhagen,0.3,0.012,0.29,0.049,0.178077268,0.174879503,0.205796083,0.221791915
2821,Copenhagen,0.3,0.014,0.03,0.049,1.150854388,1.300911919,1.574995246,1.739283865
2822,Copenhagen,0.3,0.012,0.35,0.049,0.159188163,0.154169084,0.180190503,0.193066462
2823,Copenhagen,0.3,0.014,0.09,0.049,0.429589173,0.47201163,0.564488836,0.617318741
2824,Copenhagen,0.3,0.012,0.31,0.049,0.170968456,0.167085247,0.196159559,0.210981242
2825,Copenhagen,0.3,0.014,0.05,0.049,0.718095201,0.803571666,0.968691296,1.06610467
2826,Copenhagen,0.3,0.014,0.15,0.049,0.285336306,0.306231812,0.362387864,0.392926078
2827,Copenhagen,0.3,0.014,0.01,0.049,3.314650619,3.787613585,4.606515513,5.10518044
2828,Copenhagen,0.3,0.014,0.11,0.049,0.364019661,0.396657131,0.472624711,0.515322021
2829,Copenhagen,0.3,0.014,0.21,0.049,0.223513774,0.235183489,0.275773384,0.296758051
2830,Copenhagen,0.3,0.014,0.27,0.049,0.18916802,0.195712331,0.227654401,0.243331571
2831,Copenhagen,0.3,0.014,0.07,0.049,0.532627019,0.5904259,0.70884682,0.777599387
2832,Copenhagen,0.3,0.014,0.17,0.049,0.259879952,0.276976597,0.326723048,0.353327443
2833,Copenhagen,0.3,0.014,0.13,0.049,0.318625406,0.344488662,0.40902651,0.444708954
2834,Copenhagen,0.3,0.014,0.23,0.049,0.210074118,0.219738236,0.256944194,0.275852011
2835,Copenhagen,0.3,0.014,0.33,0.049,0.167311711,0.170594431,0.197033371,0.209333065
2836,Copenhagen,0.3,0.014,0.29,0.049,0.180877686,0.186184838,0.216039509,0.230435565
2837,Copenhagen,0.3,0.014,0.19,0.049,0.239782846,0.253880395,0.298566641,0.322065395
2838,Copenhagen,0.3,0.016,0.03,0.049,1.169241719,1.369478582,1.637738235,1.793068849
2839,Copenhagen,0.3,0.014,0.25,0.049,0.198784819,0.20676424,0.241127695,0.258290961
2840,Copenhagen,0.3,0.014,0.35,0.049,0.161691534,0.164135565,0.189159421,0.200590627
2841,Copenhagen,0.3,0.014,0.31,0.049,0.173657082,0.177886712,0.205923331,0.21920358
2842,Copenhagen,0.3,0.016,0.09,0.049,0.436452768,0.496889765,0.586976343,0.636408482
2843,Copenhagen,0.3,0.016,0.05,0.049,0.729568289,0.845925208,1.007280992,1.099072505
2844,Copenhagen,0.3,0.016,0.15,0.049,0.289895156,0.322372254,0.376824287,0.405076781
2845,Copenhagen,0.3,0.016,0.01,0.049,3.367609167,3.987245872,4.790024988,5.263051189
2846,Copenhagen,0.3,0.016,0.11,0.049,0.369835645,0.417563585,0.491452632,0.531257653
2847,Copenhagen,0.3,0.016,0.07,0.049,0.541136861,0.62154525,0.737085107,0.801645589
2848,Copenhagen,0.3,0.016,0.17,0.049,0.264032083,0.291575095,0.339738694,0.364253613
2849,Copenhagen,0.3,0.016,0.21,0.049,0.227084878,0.247579214,0.286759351,0.30593489
2850,Copenhagen,0.3,0.016,0.27,0.049,0.192190379,0.206027666,0.236723455,0.250856268
2851,Copenhagen,0.3,0.016,0.33,0.049,0.169984869,0.179585886,0.204882577,0.215806405
2852,Copenhagen,0.3,0.016,0.13,0.049,0.323716121,0.362645493,0.425320874,0.458460972
2853,Copenhagen,0.3,0.016,0.19,0.049,0.243613883,0.267261571,0.310460622,0.332024828
2854,Copenhagen,0.3,0.016,0.23,0.049,0.213430496,0.231319894,0.267180064,0.284382359
2855,Copenhagen,0.3,0.016,0.29,0.049,0.183767589,0.195998011,0.224645862,0.237561471
2856,Copenhagen,0.3,0.018,0.03,0.049,1.188226142,1.42927057,1.691212845,1.838186192
2857,Copenhagen,0.3,0.016,0.35,0.049,0.164274898,0.172786595,0.196694954,0.206793619
2858,Copenhagen,0.3,0.018,0.09,0.049,0.443539245,0.518584173,0.606142001,0.652421844
2859,Copenhagen,0.3,0.016,0.25,0.049,0.201960827,0.217662083,0.250733484,0.266278257
2860,Copenhagen,0.3,0.016,0.31,0.049,0.17643162,0.187262518,0.214126686,0.225982152
2861,Copenhagen,0.3,0.018,0.05,0.049,0.741413943,0.882858644,1.040170227,1.126727456
2862,Copenhagen,0.3,0.018,0.01,0.049,3.42228744,4.161330636,4.946426489,5.395480509
2863,Copenhagen,0.3,0.018,0.15,0.049,0.294602046,0.336447156,0.389128165,0.415269356
2864,Copenhagen,0.3,0.018,0.11,0.049,0.375840491,0.43579458,0.507499298,0.544625201
2865,Copenhagen,0.3,0.018,0.21,0.049,0.230771948,0.258388623,0.296122474,0.313632848
2866,Copenhagen,0.3,0.018,0.07,0.049,0.549923044,0.648682167,0.761152042,0.82181666
2867,Copenhagen,0.3,0.018,0.17,0.049,0.268319047,0.304305381,0.350831672,0.373418992
2868,Copenhagen,0.3,0.018,0.13,0.049,0.328972146,0.378478742,0.439208238,0.469996804
2869,Copenhagen,0.3,0.018,0.23,0.049,0.216895866,0.241419414,0.275903894,0.29153801
2870,Copenhagen,0.3,0.018,0.27,0.049,0.195310883,0.215022917,0.244452831,0.257168334
2871,Copenhagen,0.3,0.018,0.33,0.049,0.172744833,0.187426678,0.211572301,0.221236543
2872,Copenhagen,0.3,0.018,0.19,0.049,0.247569326,0.278930319,0.320597627,0.340379264
2873,Copenhagen,0.3,0.018,0.25,0.049,0.205239969,0.227165297,0.258920309,0.272978372
2874,Copenhagen,0.4,0.0,0.03,0.049,1.091034598,0.972317416,0.92948051,0.893221634
2875,Copenhagen,0.3,0.018,0.29,0.049,0.186751336,0.204555363,0.231980887,0.243539012
2876,Copenhagen,0.4,0.0,0.09,0.049,0.407259733,0.352787242,0.333132035,0.317028442
2877,Copenhagen,0.3,0.018,0.35,0.049,0.166942152,0.180330527,0.203117339,0.211996976
2878,Copenhagen,0.4,0.0,0.15,0.049,0.270504926,0.228881386,0.213862523,0.20178999
2879,Copenhagen,0.4,0.0,0.05,0.049,0.680769623,0.600599252,0.571671364,0.547505657
2880,Copenhagen,0.3,0.018,0.31,0.049,0.179296257,0.195438475,0.221118243,0.231668333
2881,Copenhagen,0.4,0.0,0.11,0.049,0.345098432,0.296466372,0.278918592,0.264647299
2882,Copenhagen,0.4,0.0,0.21,0.049,0.211895842,0.175779005,0.162747149,0.152402214
2883,Copenhagen,0.4,0.0,0.01,0.049,3.142359748,2.830908532,2.718526549,2.621801827
2884,Copenhagen,0.4,0.0,0.17,0.049,0.246371758,0.207015682,0.192814998,0.181453828
2885,Copenhagen,0.4,0.0,0.27,0.049,0.179335333,0.146277781,0.134349821,0.124964664
2886,Copenhagen,0.4,0.0,0.07,0.049,0.504941817,0.44129151,0.41832463,0.399341711
2887,Copenhagen,0.4,0.0,0.13,0.049,0.302063707,0.257475023,0.241386233,0.228383455
2888,Copenhagen,0.4,0.0,0.23,0.049,0.199154761,0.164235034,0.151635137,0.141665768
2889,Copenhagen,0.4,0.0,0.33,0.049,0.158615084,0.127504356,0.116278877,0.107504489
2890,Copenhagen,0.4,0.0,0.19,0.049,0.227319271,0.1897533,0.176198547,0.165398981
2891,Copenhagen,0.4,0.0,0.29,0.049,0.171475918,0.139156816,0.127495314,0.118341828
2892,Copenhagen,0.4,0.002,0.03,0.049,1.206619365,1.062398422,1.054801067,1.103659958
2893,Copenhagen,0.4,0.0,0.25,0.049,0.188452264,0.154538111,0.14230106,0.132647165
2894,Copenhagen,0.4,0.002,0.09,0.049,0.450405039,0.385471456,0.378047761,0.391718678
2895,Copenhagen,0.4,0.0,0.31,0.049,0.164630631,0.132954695,0.12152527,0.112573562
2896,Copenhagen,0.4,0.0,0.35,0.049,0.153287036,0.122676921,0.11163208,0.103014747
2897,Copenhagen,0.4,0.002,0.15,0.049,0.299162358,0.250086258,0.242697308,0.249330651
2898,Copenhagen,0.4,0.002,0.05,0.049,0.752890708,0.656242177,0.648749014,0.676495113
2899,Copenhagen,0.4,0.002,0.21,0.049,0.234344197,0.19206417,0.184690119,0.188307375
2900,Copenhagen,0.4,0.002,0.11,0.049,0.381658338,0.3239327,0.316524796,0.326996813
2901,Copenhagen,0.4,0.002,0.01,0.049,3.475262958,3.093179974,3.085061678,3.239484561
2902,Copenhagen,0.4,0.002,0.07,0.049,0.558435613,0.482175262,0.474726755,0.49342452
2903,Copenhagen,0.4,0.002,0.27,0.049,0.19833421,0.159829785,0.152464019,0.154405682
2904,Copenhagen,0.4,0.002,0.17,0.049,0.272472509,0.226194791,0.218811974,0.224203397
2905,Copenhagen,0.4,0.002,0.33,0.049,0.175418848,0.139317083,0.131956595,0.132831981
2906,Copenhagen,0.4,0.002,0.23,0.049,0.220253319,0.179450701,0.172079891,0.175041478
2907,Copenhagen,0.4,0.002,0.13,0.049,0.334064491,0.281328971,0.273932001,0.282189397
2908,Copenhagen,0.4,0.002,0.19,0.049,0.251401592,0.207333123,0.19995515,0.204366111
2909,Copenhagen,0.4,0.002,0.25,0.049,0.208416994,0.1688554,0.161487313,0.16389814
2910,Copenhagen,0.4,0.002,0.29,0.049,0.189642166,0.152049094,0.144685329,0.146222541
2911,Copenhagen,0.4,0.004,0.03,0.049,1.223814365,1.117552471,1.182064164,1.332806348
2912,Copenhagen,0.4,0.002,0.35,0.049,0.169526343,0.134042407,0.126683277,0.12728448
2913,Copenhagen,0.4,0.004,0.09,0.049,0.456823562,0.405483074,0.423659706,0.47304891
2914,Copenhagen,0.4,0.004,0.15,0.049,0.303425588,0.2630694,0.271979048,0.3010977
2915,Copenhagen,0.4,0.002,0.31,0.049,0.182071685,0.145272373,0.137910352,0.139095301
2916,Copenhagen,0.4,0.004,0.01,0.049,3.524787397,3.253761348,3.457278314,3.912079585
2917,Copenhagen,0.4,0.004,0.05,0.049,0.763619821,0.690310764,0.727021412,0.816951793
2918,Copenhagen,0.4,0.004,0.21,0.049,0.237683733,0.202035115,0.206973218,0.227404521
2919,Copenhagen,0.4,0.004,0.11,0.049,0.387097182,0.340749554,0.354713917,0.394889227
2920,Copenhagen,0.4,0.004,0.27,0.049,0.201160584,0.168127293,0.170858998,0.18646402
2921,Copenhagen,0.4,0.004,0.17,0.049,0.276355394,0.237937615,0.245211919,0.270753423
2922,Copenhagen,0.4,0.004,0.07,0.049,0.566393633,0.507207224,0.532003145,0.595871336
2923,Copenhagen,0.4,0.004,0.13,0.049,0.338825097,0.295934067,0.306982247,0.340778713
2924,Copenhagen,0.4,0.004,0.23,0.049,0.223392052,0.188766822,0.19284155,0.211384305
2925,Copenhagen,0.4,0.004,0.19,0.049,0.254984205,0.218096751,0.224079995,0.246797439
2926,Copenhagen,0.4,0.004,0.33,0.049,0.177918664,0.146549682,0.147877327,0.1604111
2927,Copenhagen,0.4,0.004,0.29,0.049,0.192344672,0.15994267,0.162141799,0.176581862
