Location,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,Panel Replacement,LCOE
Paris,0,0.004,0.03,1.225,2,1.332995363
Paris,0,0.002,0.29,1.225,2,0.814121186
Paris,0,0.002,0.25,1.225,2,0.823274543
Paris,0,0.004,0.09,1.225,2,0.957823936
Paris,0,0.002,0.35,1.225,2,0.804314055
Paris,0,0.004,0.05,1.225,2,1.107892471
Paris,0,0.002,0.31,1.225,2,0.810430325
Paris,0,0.004,0.11,1.225,2,0.923717476
Paris,0,0.004,0.01,1.225,2,2.458510002
Paris,0,0.004,0.15,1.225,2,0.882789759
Paris,0,0.004,0.07,1.225,2,1.011419829
Paris,0,0.004,0.21,1.225,2,0.850632332
Paris,0,0.004,0.27,1.225,2,0.832767154
Paris,0,0.004,0.13,1.225,2,0.900105324
Paris,0,0.004,0.17,1.225,2,0.869548455
Paris,0,0.004,0.23,1.225,2,0.843641602
Paris,0,0.004,0.33,1.225,2,0.821398454
Paris,0,0.004,0.29,1.225,2,0.828454882
Paris,0,0.006,0.03,1.225,2,1.356885147
Paris,0,0.004,0.19,1.225,2,0.859094803
Paris,0,0.006,0.09,1.225,2,0.974989943
Paris,0,0.004,0.25,1.225,2,0.837769397
Paris,0,0.004,0.35,1.225,2,0.818475084
Paris,0,0.004,0.31,1.225,2,0.824699039
Paris,0,0.006,0.15,1.225,2,0.898611012
Paris,0,0.006,0.05,1.225,2,1.127747988
Paris,0,0.006,0.11,1.225,2,0.940272231
Paris,0,0.006,0.01,1.225,2,2.502571126
Paris,0,0.006,0.17,1.225,2,0.885132399
Paris,0,0.006,0.07,1.225,2,1.029546375
Paris,0,0.006,0.21,1.225,2,0.865877263
Paris,0,0.006,0.13,1.225,2,0.916236905
Paris,0,0.006,0.27,1.225,2,0.847691908
Paris,0,0.006,0.19,1.225,2,0.874491398
Paris,0,0.006,0.33,1.225,2,0.83611946
Paris,0,0.006,0.23,1.225,2,0.858761247
Paris,0,0.008,0.03,1.225,2,1.381646859
Paris,0,0.006,0.29,1.225,2,0.843302353
Paris,0,0.008,0.09,1.225,2,0.992782473
Paris,0,0.006,0.35,1.225,2,0.833143698
Paris,0,0.006,0.25,1.225,2,0.8527838
Paris,0,0.008,0.15,1.225,2,0.915009708
Paris,0,0.006,0.31,1.225,2,0.839479197
Paris,0,0.008,0.05,1.225,2,1.14832819
Paris,0,0.008,0.21,1.225,2,0.881678603
Paris,0,0.008,0.11,1.225,2,0.957431199
Paris,0,0.008,0.01,1.225,2,2.548240389
Paris,0,0.008,0.17,1.225,2,0.901285124
Paris,0,0.008,0.07,1.225,2,1.048334501
Paris,0,0.008,0.13,1.225,2,0.932957255
Paris,0,0.008,0.23,1.225,2,0.874432727
Paris,0,0.008,0.27,1.225,2,0.863161384
Paris,0,0.008,0.33,1.225,2,0.851377751
Paris,0,0.008,0.19,1.225,2,0.890449936
Paris,0,0.01,0.05,1.225,2,1.169673487
Paris,0,0.008,0.25,1.225,2,0.868346198
Paris,0,0.01,0.11,1.225,2,0.975228075
Paris,0,0.008,0.29,1.225,2,0.858691724
Paris,0,0.008,0.35,1.225,2,0.848347684
Paris,0,0.01,0.17,1.225,2,0.918038348
Paris,0,0.01,0.07,1.225,2,1.067821101
