Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Copenhagen,0,0.018,0.23,1.225,2,1.043740798
Copenhagen,0,0.018,0.33,1.225,2,1.011696177
Copenhagen,0,0.018,0.13,1.225,2,1.125085259
Copenhagen,0,0.018,0.29,1.225,2,1.021862034
Copenhagen,0,0.018,0.19,1.225,2,1.066003458
Copenhagen,0,0.018,0.35,1.225,2,1.007484617
Copenhagen,0,0.018,0.25,1.225,2,1.035281001
Copenhagen,0.1,0,0.09,1.225,2,1.137232732
Copenhagen,0.1,0,0.03,1.225,2,1.645959998
Copenhagen,0,0.018,0.31,1.225,2,1.016451171
Copenhagen,0.1,0,0.15,1.225,2,1.035487403
Copenhagen,0.1,0,0.01,1.225,2,3.172142206
Copenhagen,0.1,0,0.21,1.225,2,0.99188235
Copenhagen,0.1,0,0.11,1.225,2,1.090984836
Copenhagen,0.1,0,0.05,1.225,2,1.340723597
Copenhagen,0.1,0,0.17,1.225,2,1.017532369
Copenhagen,0.1,0,0.27,1.225,2,0.96765739
Copenhagen,0.1,0,0.33,1.225,2,0.952241562
Copenhagen,0.1,0,0.23,1.225,2,0.982403009
Copenhagen,0.1,0,0.13,1.225,2,1.058967078
Copenhagen,0.1,0,0.07,1.225,2,1.209908026
Copenhagen,0.1,0,0.29,1.225,2,0.96181
Copenhagen,0.1,0.002,0.03,1.225,2,1.696561201
Copenhagen,0.1,0,0.19,1.225,2,1.003357353
Copenhagen,0.1,0,0.35,1.225,2,0.948277504
Copenhagen,0.1,0,0.25,1.225,2,0.97444037
Copenhagen,0.1,0,0.31,1.225,2,0.956717118
Copenhagen,0.1,0.002,0.05,1.225,2,1.381941019
Copenhagen,0.1,0.002,0.01,1.225,2,3.269662324
Copenhagen,0.1,0.002,0.09,1.225,2,1.172194301
Copenhagen,0.1,0.002,0.15,1.225,2,1.067321049
Copenhagen,0.1,0.002,0.07,1.225,2,1.247103828
Copenhagen,0.1,0.002,0.21,1.225,2,1.022375461
Copenhagen,0.1,0.002,0.11,1.225,2,1.124524622
Copenhagen,0.1,0.002,0.17,1.225,2,1.04881403
Copenhagen,0.1,0.002,0.27,1.225,2,0.99740576
Copenhagen,0.1,0.002,0.13,1.225,2,1.091522553
Copenhagen,0.1,0.002,0.23,1.225,2,1.012604699
Copenhagen,0.1,0.002,0.33,1.225,2,0.981516009
Copenhagen,0.1,0.002,0.19,1.225,2,1.034203236
Copenhagen,0.1,0.004,0.03,1.225,2,1.722070693
Copenhagen,0.1,0.002,0.29,1.225,2,0.991378606
Copenhagen,0.1,0.004,0.09,1.225,2,1.189819413
Copenhagen,0.1,0.002,0.25,1.225,2,1.004397268
Copenhagen,0.1,0.002,0.35,1.225,2,0.977430085
Copenhagen,0.1,0.004,0.05,1.225,2,1.402719882
