Job.ProjectName,Burn-in,Long-Term Degredation,Initial PCE,Module Cost,job.Life,Finance.LCOE
Nairobi,0.1,0.004,0.23,1.225,2,0.656632957
Nairobi,0.1,0.004,0.13,1.225,2,0.698400062
Nairobi,0.1,0.004,0.33,1.225,2,0.640179356
Nairobi,0.1,0.004,0.29,1.225,2,0.645399105
Nairobi,0.1,0.004,0.19,1.225,2,0.668063932
Nairobi,0.1,0.004,0.25,1.225,2,0.652289195
Nairobi,0.1,0.004,0.35,1.225,2,0.638016895
Nairobi,0.1,0.006,0.03,1.225,2,1.049952054
Nairobi,0.1,0.004,0.31,1.225,2,0.642620849
Nairobi,0.1,0.006,0.09,1.225,2,0.763894243
Nairobi,0.1,0.006,0.01,1.225,2,1.908125777
Nairobi,0.1,0.006,0.05,1.225,2,0.878317339
Nairobi,0.1,0.006,0.15,1.225,2,0.706682768
Nairobi,0.1,0.006,0.21,1.225,2,0.682163627
Nairobi,0.1,0.006,0.11,1.225,2,0.737889014
Nairobi,0.1,0.006,0.27,1.225,2,0.66854193
Nairobi,0.1,0.006,0.07,1.225,2,0.804759624
Nairobi,0.1,0.006,0.17,1.225,2,0.696586643
Nairobi,0.1,0.006,0.33,1.225,2,0.659873617
Nairobi,0.1,0.006,0.23,1.225,2,0.676833391
Nairobi,0.1,0.006,0.13,1.225,2,0.719885405
Nairobi,0.1,0.008,0.03,1.225,2,1.083277641
Nairobi,0.1,0.006,0.29,1.225,2,0.665253944
Nairobi,0.1,0.006,0.19,1.225,2,0.688616025
Nairobi,0.1,0.006,0.35,1.225,2,0.657644631
Nairobi,0.1,0.006,0.25,1.225,2,0.672355999
Nairobi,0.1,0.008,0.05,1.225,2,0.906195222
Nairobi,0.1,0.008,0.09,1.225,2,0.788140326
Nairobi,0.1,0.006,0.31,1.225,2,0.662390219
Nairobi,0.1,0.008,0.01,1.225,2,1.968689886
Nairobi,0.1,0.008,0.15,1.225,2,0.729112952
Nairobi,0.1,0.008,0.07,1.225,2,0.830302778
Nairobi,0.1,0.008,0.11,1.225,2,0.761309688
Nairobi,0.1,0.008,0.21,1.225,2,0.703815571
Nairobi,0.1,0.008,0.17,1.225,2,0.718696375
Nairobi,0.1,0.008,0.27,1.225,2,0.68976152
Nairobi,0.1,0.008,0.13,1.225,2,0.742734642
Nairobi,0.1,0.008,0.23,1.225,2,0.698316153
Nairobi,0.1,0.008,0.33,1.225,2,0.680818074
Nairobi,0.1,0.01,0.03,1.225,2,1.118788091
Nairobi,0.1,0.008,0.19,1.225,2,0.710472769
Nairobi,0.1,0.01,0.09,1.225,2,0.813976008
Nairobi,0.1,0.008,0.29,1.225,2,0.686369173
Nairobi,0.1,0.008,0.35,1.225,2,0.678518339
Nairobi,0.1,0.01,0.05,1.225,2,0.93590081
Nairobi,0.1,0.008,0.25,1.225,2,0.693696648
Nairobi,0.1,0.01,0.15,1.225,2,0.753013685
Nairobi,0.1,0.008,0.31,1.225,2,0.683414554
Nairobi,0.1,0.01,0.11,1.225,2,0.786265847
Nairobi,0.1,0.01,0.21,1.225,2,0.726887041
Nairobi,0.1,0.01,0.01,1.225,2,2.033224647
Nairobi,0.1,0.01,0.07,1.225,2,0.857520569
Nairobi,0.1,0.01,0.13,1.225,2,0.767081901
Nairobi,0.1,0.01,0.17,1.225,2,0.742255646
Nairobi,0.1,0.01,0.27,1.225,2,0.71237229
Nairobi,0.1,0.01,0.23,1.225,2,0.721207349
Nairobi,0.1,0.01,0.19,1.225,2,0.733762465
Nairobi,0.1,0.012,0.03,1.225,2,1.156705548
Nairobi,0.1,0.01,0.33,1.225,2,0.703135673
Nairobi,0.1,0.01,0.25,1.225,2,0.716436414
Nairobi,0.1,0.012,0.09,1.225,2,0.841562913
Nairobi,0.1,0.01,0.29,1.225,2,0.70886874
Nairobi,0.1,0.012,0.15,1.225,2,0.778534482
Nairobi,0.1,0.012,0.05,1.225,2,0.967619935
Nairobi,0.1,0.01,0.31,1.225,2,0.705817266
Nairobi,0.1,0.012,0.21,1.225,2,0.751522366
Nairobi,0.1,0.01,0.35,1.225,2,0.700760552
Nairobi,0.1,0.012,0.11,1.225,2,0.812913612
Nairobi,0.1,0.012,0.17,1.225,2,0.767411837
Nairobi,0.1,0.012,0.27,1.225,2,0.736515688
Nairobi,0.1,0.012,0.07,1.225,2,0.886583267
Nairobi,0.1,0.012,0.01,1.225,2,2.102133773
Nairobi,0.1,0.012,0.13,1.225,2,0.793079493
Nairobi,0.1,0.012,0.23,1.225,2,0.745650181
Nairobi,0.1,0.012,0.19,1.225,2,0.758630809
Nairobi,0.1,0.012,0.33,1.225,2,0.726966028
Nairobi,0.1,0.012,0.29,1.225,2,0.732893398
Nairobi,0.1,0.012,0.25,1.225,2,0.740717552
Nairobi,0.1,0.014,0.03,1.225,2,1.197283331
Nairobi,0.1,0.012,0.31,1.225,2,0.729738505
Nairobi,0.1,0.012,0.35,1.225,2,0.72451041
Nairobi,0.1,0.014,0.09,1.225,2,0.871085342
Nairobi,0.1,0.014,0.15,1.225,2,0.805845844
Nairobi,0.1,0.014,0.05,1.225,2,1.001564504
Nairobi,0.1,0.014,0.21,1.225,2,0.777886129
Nairobi,0.1,0.014,0.01,1.225,2,2.175877629
Nairobi,0.1,0.014,0.11,1.225,2,0.841431009
Nairobi,0.1,0.014,0.27,1.225,2,0.76235301
Nairobi,0.1,0.014,0.17,1.225,2,0.79433301
Nairobi,0.1,0.014,0.33,1.225,2,0.752468343
Nairobi,0.1,0.014,0.07,1.225,2,0.917685031
Nairobi,0.1,0.014,0.23,1.225,2,0.771807945
Nairobi,0.1,0.014,0.13,1.225,2,0.8209011
Nairobi,0.1,0.014,0.29,1.225,2,0.758603648
Nairobi,0.1,0.014,0.19,1.225,2,0.78524394
Nairobi,0.1,0.014,0.35,1.225,2,0.749926581
Nairobi,0.1,0.016,0.03,1.225,2,1.240811594
Nairobi,0.1,0.014,0.25,1.225,2,0.766702277
Nairobi,0.1,0.016,0.09,1.225,2,0.902754397
Nairobi,0.1,0.016,0.05,1.225,2,1.037977242
Nairobi,0.1,0.014,0.31,1.225,2,0.75533808
Nairobi,0.1,0.016,0.01,1.225,2,2.254983527
Nairobi,0.1,0.016,0.15,1.225,2,0.835143061
Nairobi,0.1,0.016,0.11,1.225,2,0.872021956
Nairobi,0.1,0.016,0.21,1.225,2,0.806166847
Nairobi,0.1,0.016,0.27,1.225,2,0.790069008
Nairobi,0.1,0.016,0.07,1.225,2,0.951048258
Nairobi,0.1,0.016,0.17,1.225,2,0.823211669
Nairobi,0.1,0.016,0.13,1.225,2,0.850745664
Nairobi,0.1,0.016,0.23,1.225,2,0.799867685
Nairobi,0.1,0.016,0.33,1.225,2,0.779824975
Nairobi,0.1,0.016,0.29,1.225,2,0.786183334
Nairobi,0.1,0.018,0.03,1.225,2,1.287624279
Nairobi,0.1,0.016,0.19,1.225,2,0.813792157
Nairobi,0.1,0.016,0.35,1.225,2,0.777190805
Nairobi,0.1,0.018,0.09,1.225,2,0.936813039
Nairobi,0.1,0.016,0.25,1.225,2,0.794576396
Nairobi,0.1,0.018,0.05,1.225,2,1.0771375
Nairobi,0.1,0.016,0.31,1.225,2,0.782799044
Nairobi,0.1,0.018,0.15,1.225,2,0.866650898
