"Location","Latitude","Longitude","Panel Type","Burn-in","Long-Term Degredation","Initial PCE","Module Cost","Panel Lifetime","LCOE"
"Durham","54.775706","-1.575752","469","0.2","0.012","0.03","0.049","2","1.029037904"
"Durham","54.775706","-1.575752","462","0.2","0.01","0.25","0.049","2","0.179338349"
"Durham","54.775706","-1.575752","467","0.2","0.01","0.35","0.049","2","0.146748259"
"Durham","54.775706","-1.575752","472","0.2","0.012","0.09","0.049","2","0.387092858"
"Durham","54.775706","-1.575752","465","0.2","0.01","0.31","0.049","2","0.157261164"
"Durham","54.775706","-1.575752","475","0.2","0.012","0.15","0.049","2","0.258704017"
"Durham","54.775706","-1.575752","470","0.2","0.012","0.05","0.049","2","0.643870821"
"Durham","54.775706","-1.575752","468","0.2","0.012","0.01","0.049","2","2.954873604"
"Durham","54.775706","-1.575752","478","0.2","0.012","0.21","0.049","2","0.203680349"
"Durham","54.775706","-1.575752","473","0.2","0.012","0.11","0.049","2","0.328734269"
"Durham","54.775706","-1.575752","476","0.2","0.012","0.17","0.049","2","0.236047196"
"Durham","54.775706","-1.575752","471","0.2","0.012","0.07","0.049","2","0.478799253"
"Durham","54.775706","-1.575752","481","0.2","0.012","0.27","0.049","2","0.173111737"
"Durham","54.775706","-1.575752","479","0.2","0.012","0.23","0.049","2","0.191718706"
"Durham","54.775706","-1.575752","474","0.2","0.012","0.13","0.049","2","0.28833219"
"Durham","54.775706","-1.575752","484","0.2","0.012","0.33","0.049","2","0.153659061"
"Durham","54.775706","-1.575752","477","0.2","0.012","0.19","0.049","2","0.218160247"
"Durham","54.775706","-1.575752","482","0.2","0.012","0.29","0.049","2","0.165733126"
"Durham","54.775706","-1.575752","487","0.2","0.014","0.03","0.049","2","1.042598605"
"Durham","54.775706","-1.575752","480","0.2","0.012","0.25","0.049","2","0.181670937"
"Durham","54.775706","-1.575752","485","0.2","0.012","0.35","0.049","2","0.14865696"
"Durham","54.775706","-1.575752","490","0.2","0.014","0.09","0.049","2","0.392193983"
"Durham","54.775706","-1.575752","483","0.2","0.012","0.31","0.049","2","0.159306603"
"Durham","54.775706","-1.575752","488","0.2","0.014","0.05","0.049","2","0.652355775"
"Durham","54.775706","-1.575752","486","0.2","0.014","0.01","0.049","2","2.993813041"
"Durham","54.775706","-1.575752","493","0.2","0.014","0.15","0.049","2","0.262113229"
"Durham","54.775706","-1.575752","496","0.2","0.014","0.21","0.049","2","0.206364456"
"Durham","54.775706","-1.575752","491","0.2","0.014","0.11","0.049","2","0.333066341"
"Durham","54.775706","-1.575752","489","0.2","0.014","0.07","0.049","2","0.485108888"
"Durham","54.775706","-1.575752","499","0.2","0.014","0.27","0.049","2","0.17539301"
"Durham","54.775706","-1.575752","494","0.2","0.014","0.17","0.049","2","0.239157835"
"Durham","54.775706","-1.575752","497","0.2","0.014","0.23","0.049","2","0.194245182"
"Durham","54.775706","-1.575752","492","0.2","0.014","0.13","0.049","2","0.292131842"
"Durham","54.775706","-1.575752","502","0.2","0.014","0.33","0.049","2","0.155683986"
"Durham","54.775706","-1.575752","505","0.2","0.016","0.03","0.049","2","1.056521486"
"Durham","54.775706","-1.575752","500","0.2","0.014","0.29","0.049","2","0.167917164"
"Durham","54.775706","-1.575752","495","0.2","0.014","0.19","0.049","2","0.221035171"
"Durham","54.775706","-1.575752","498","0.2","0.014","0.25","0.049","2","0.184065004"
"Durham","54.775706","-1.575752","508","0.2","0.016","0.09","0.049","2","0.397431348"
"Durham","54.775706","-1.575752","503","0.2","0.014","0.35","0.049","2","0.150615968"
"Durham","54.775706","-1.575752","501","0.2","0.014","0.31","0.049","2","0.161405952"
"Durham","54.775706","-1.575752","511","0.2","0.016","0.15","0.049","2","0.265613494"
"Durham","54.775706","-1.575752","506","0.2","0.016","0.05","0.049","2","0.661067346"
"Durham","54.775706","-1.575752","504","0.2","0.016","0.01","0.049","2","3.033792474"
"Durham","54.775706","-1.575752","509","0.2","0.016","0.11","0.049","2","0.337514115"
"Durham","54.775706","-1.575752","514","0.2","0.016","0.21","0.049","2","0.209120251"
"Durham","54.775706","-1.575752","507","0.2","0.016","0.07","0.049","2","0.491587041"
"Durham","54.775706","-1.575752","512","0.2","0.016","0.17","0.049","2","0.242351553"
"Durham","54.775706","-1.575752","517","0.2","0.016","0.27","0.049","2","0.177735212"
"Durham","54.775706","-1.575752","510","0.2","0.016","0.13","0.049","2","0.296032976"
"Durham","54.775706","-1.575752","520","0.2","0.016","0.33","0.049","2","0.157762993"
"Durham","54.775706","-1.575752","515","0.2","0.016","0.23","0.049","2","0.196839136"
"Durham","54.775706","-1.575752","523","0.2","0.018","0.03","0.049","2","1.070821252"
"Durham","54.775706","-1.575752","513","0.2","0.016","0.19","0.049","2","0.223986878"
"Durham","54.775706","-1.575752","518","0.2","0.016","0.29","0.049","2","0.170159533"
"Durham","54.775706","-1.575752","526","0.2","0.018","0.09","0.049","2","0.402810487"
"Durham","54.775706","-1.575752","521","0.2","0.016","0.35","0.049","2","0.152627296"
"Durham","54.775706","-1.575752","516","0.2","0.016","0.25","0.049","2","0.186523011"
"Durham","54.775706","-1.575752","529","0.2","0.018","0.15","0.049","2","0.269208509"
"Durham","54.775706","-1.575752","524","0.2","0.018","0.05","0.049","2","0.670014734"
"Durham","54.775706","-1.575752","519","0.2","0.016","0.31","0.049","2","0.16356137"
"Durham","54.775706","-1.575752","527","0.2","0.018","0.11","0.049","2","0.342082288"
"Durham","54.775706","-1.575752","522","0.2","0.018","0.01","0.049","2","3.074854131"
"Durham","54.775706","-1.575752","532","0.2","0.018","0.21","0.049","2","0.211950643"
"Durham","54.775706","-1.575752","530","0.2","0.018","0.17","0.049","2","0.245631724"
"Durham","54.775706","-1.575752","525","0.2","0.018","0.07","0.049","2","0.498240554"
"Durham","54.775706","-1.575752","535","0.2","0.018","0.27","0.049","2","0.180140815"
